,DPEQ.SG1AG01,DPEQ.SG1AG02,DPEQ.SG1AG03,DPEQ.SG1AG04,DPEQ.SG1AG05,DPEQ.SG1AG06,DPEQ.SG1AG07,DPEQ.SG1AG08,DPEQ.SG1AG09,DPEQ.SG1AG10,DPEQ.SG1AG11,DPEQ.SG1AG12,DPEQ.SG1AG13,DPEQ.SG1AG14,DPEQ.SG1AG15,DPEQ.SG1AG16,DPEQ.SG1AG17,DPEQ.SG1AG85,DPEQ.SG1BG01,DPEQ.SG1BG02,DPEQ.SG1BG03,DPEQ.SG1BG04,DPEQ.SG1BG05,DPEQ.SG1BG06,DPEQ.SG1BG07,DPEQ.SG1BG08,DPEQ.SG1BG09,DPEQ.SG1BG10,DPEQ.SG1BG11,DPEQ.SG1BG12,DPEQ.SG1BG13,DPEQ.SG1BG14,DPEQ.SG1BG15,DPEQ.SG1BG16,DPEQ.SG1BG17,DPEQ.SG1BG85,
Mar-2015,157240,160640,151650,162790,173980,153440,139720,133310,150160,152660,155380,139130,121340,109190,78450,54780,36790,29000,148780,152470,144430,152850,161430,155330,148550,144050,163960,163520,165490,146780,127490,113950,84290,62770,45890,50200,
Jun-2015,156660,161920,151360,162860,174870,155980,141050,134180,149950,152850,155610,140250,121870,109790,79100,55650,36820,29300,148550,153340,144310,153010,161290,156780,149540,144250,163370,163890,165460,147890,128020,114680,84990,63650,45760,50500,
Sep-2015,156410,162950,151300,163220,177010,159770,143130,135430,149640,153590,155810,141460,122640,110670,79570,56570,36750,29400,148270,154370,144240,153360,162440,159890,151000,144830,162440,164690,165550,149090,128930,115510,85470,64780,45570,50500,
Dec-2015,156400,163940,151360,162850,177980,163920,145110,136620,149250,154600,156120,142740,123370,111980,79910,57610,36800,30000,148280,155220,144140,153260,162660,163310,152810,146010,161070,165600,165560,150610,129660,116790,85940,65900,45600,50800,
Mar-2016,156470,165130,151820,163560,179670,167690,147130,138060,148960,155610,156370,143610,124220,112850,80590,58380,36970,30500,148230,156090,144680,154170,163570,166500,154540,147020,160300,166570,165480,151710,130810,117630,86430,66620,45780,51400,
Jun-2016,156610,165750,152400,163430,179740,170050,148730,139170,148610,156400,156220,144690,124970,113490,81260,59210,37030,30800,148090,156620,145180,154260,163220,167780,156090,147520,159330,167500,165010,153020,131800,118100,87040,67430,45980,51600,
Sep-2016,156630,166590,153210,163470,180230,173390,150910,140720,148280,157420,156130,145830,125980,113800,82360,60050,37170,31000,148480,157410,145570,154550,163700,170370,157900,148610,158350,168320,164850,154380,132830,118440,88060,68480,46100,51600,
Dec-2016,157040,167140,153750,162660,180010,176780,153640,141970,148130,158390,156450,146860,126890,113930,83980,61010,37420,31200,148910,157710,146060,154050,163950,173150,160000,149630,157530,169050,164920,155670,133840,118580,89640,69430,46330,51900,
Mar-2017,157010,167690,155230,163300,179980,180380,155870,143820,147840,159460,156290,148280,127560,113920,85390,61850,37580,31600,148700,158420,147280,154820,164220,175970,161460,150940,157030,169630,164870,156870,134650,118630,91010,70320,46640,52200,
Jun-2017,156970,167860,156370,163100,179280,181590,157920,145350,147580,160250,155980,149420,128280,114110,86520,62530,37800,31800,148550,158690,148390,154520,163830,176780,162870,151860,156100,170240,164400,158100,135480,118920,91980,71010,46910,52300,
Sep-2017,156860,168140,157590,163110,178590,183980,160200,147460,147020,161110,156100,150430,129200,114320,87980,63090,37950,31700,148500,159100,149540,154540,163780,178500,165140,153180,155460,170650,164230,159100,136560,119120,93530,71470,47080,52000,
Dec-2017,156750,168730,158480,162270,177920,186360,162570,149360,146940,161850,156300,151620,130030,114890,89720,63360,38420,31900,148420,159500,150490,153780,163390,180210,167230,154840,154620,171170,164020,160310,137460,119620,95360,71710,47620,52300,
Mar-2018,156840,168900,159640,163090,177940,188600,165100,151430,147130,162510,156280,152710,130870,114980,91550,63530,38850,32100,148310,159520,152050,154180,163690,181700,169550,156160,154410,171200,163770,161540,138380,119930,97190,71960,47780,52700,
Jun-2018,156820,168430,160680,163100,176800,189340,167200,152930,147300,162620,156360,153820,131590,115090,92970,63810,39130,32200,148210,159480,152830,154250,163280,181850,171030,157140,153880,170960,163820,162610,139350,120000,98690,72070,48210,52800,
Sep-2018,156790,168490,162030,163090,176310,190270,169390,154700,147640,162620,156380,154460,132820,115490,94110,64610,39480,32200,148170,159530,153850,154330,163220,182880,172910,158530,153620,171120,163500,163420,140540,120660,99980,72630,48680,52900,
Dec-2018,156840,168490,163150,162510,175340,191380,171430,156370,147770,162480,156750,155050,134010,115970,95580,65260,39960,32600,148290,159610,154630,154050,162620,183890,174830,160000,153460,170900,163900,164040,141650,121320,101620,73140,49380,52900,
Mar-2019,157400,168290,164680,163300,175360,192240,173310,158270,148190,162600,156910,155670,134780,116440,96820,65970,40430,32900,148520,159840,155540,155120,162820,184230,176740,161320,153620,170690,164080,164800,142660,122020,102790,73640,49990,53300,
Jun-2019,157080,168510,165580,163410,174590,192090,174870,159390,148820,162650,156960,155980,135790,116940,97910,66630,40740,33200,148570,159930,156340,154860,162240,183860,177880,162430,153620,170400,164270,165270,143980,122860,103670,74430,50190,53300,
Sep-2019,157210,168670,166800,163870,174900,193010,177970,161120,149640,162610,157350,156610,136960,117660,99340,67140,41310,33200,148930,159940,157780,154930,162620,184920,180210,164200,153960,169920,164870,165930,145420,123810,105070,74920,50790,53300,
Dec-2019,157150,168840,168080,163100,174720,194770,181340,163200,150750,162640,158230,157490,138560,118810,101090,67880,42070,33700,149180,160090,158940,154220,162320,186390,183130,165990,154430,169840,165460,167520,147140,125440,106810,75650,51790,53600,
Mar-2020,157400,169180,169790,163950,176930,196980,184950,165550,151840,162660,159170,157740,139840,119770,102430,68560,42700,34000,149340,160420,160570,155250,164460,189160,186110,167840,155410,169840,166380,167940,148700,126620,108400,76480,52460,53900,
Jun-2020,156930,168610,170780,163170,176210,195930,186450,166020,152520,162080,159180,157930,140790,120320,103180,69320,43460,34300,148910,159990,161240,154750,163940,187610,187300,168660,155640,169380,166580,167910,149780,127310,109370,77180,53310,54100,
Sep-2020,156900,168130,171690,162320,175160,194600,188030,166770,153200,161300,159770,158010,141760,121070,104060,69860,44400,34600,148630,159560,162140,154240,162910,186120,188860,169570,156040,168370,167350,167890,150800,128280,110290,77790,54520,54400,
Dec-2020,156480,167720,172350,161580,173960,193320,189490,167400,153700,160410,160410,158000,142710,121520,105230,70300,45290,34900,148470,159080,162860,153470,162430,184320,190270,170420,156770,166910,168040,167630,151910,128820,111530,78370,55590,54700,
Mar-2021,156250,167350,173150,161180,172940,192010,190740,167980,154220,159580,161020,157890,143310,122120,105950,71000,46020,35400,148400,158610,163420,153300,161710,182790,191600,171220,157340,165660,168730,167130,152660,129750,112310,78880,56190,55100,
Jun-2021,156710,167260,173620,161330,172020,190640,191640,168850,154820,158830,161590,157610,144220,122810,106650,71690,46770,35500,148800,158310,163920,153550,161240,181390,192470,172270,157780,164650,169610,166540,153860,130780,112890,79510,56990,55500,
